=== RHYMES ===
ABAB, Presence: 19.81 %
AAAAXX, Presence: 0.01 %
AXXBBA, Presence: 0.01 %
ABAXBA, Presence: 0.01 %
AXXXXA, Presence: 0.01 %
AABAXB, Presence: 0.01 %
XAABAB, Presence: 0.01 %
XAAXAX, Presence: 0.01 %
XABBAB, Presence: 0.01 %
ABXBXA, Presence: 0.01 %
XXXAAA, Presence: 0.01 %
ABBXXA, Presence: 0.01 %
AXBXAB, Presence: 0.01 %
AAXBAB, Presence: 0.01 %
AABXAB, Presence: 0.01 %
AAXAAA, Presence: 0.01 %
AXXAXA, Presence: 0.00 %
AXBBXA, Presence: 0.00 %
ABXXBA, Presence: 0.00 %
ABXAAB, Presence: 0.00 %
AXXAAX, Presence: 0.00 %
AAXXAX, Presence: 0.00 %
AXAXXA, Presence: 0.00 %
AXBAAB, Presence: 0.00 %
XAAAAX, Presence: 0.00 %
XAXAAA, Presence: 0.00 %
AXAAAX, Presence: 0.00 %
AAXAAX, Presence: 0.00 %
AXBBAA, Presence: 0.00 %
AXBABA, Presence: 0.00 %
XAAXAA, Presence: 0.00 %
AAAAAX, Presence: 0.00 %
ABXBAB, Presence: 0.00 %
ABAXAB, Presence: 0.00 %
ABBXAB, Presence: 0.00 %
XAXXAA, Presence: 0.00 %
AAXXXA, Presence: 0.00 %
AXBXBA, Presence: 0.00 %
ABXABB, Presence: 0.00 %
AXAAXA, Presence: 0.00 %
AAAXAA, Presence: 0.00 %
XXAAAA, Presence: 0.00 %
ABXABA, Presence: 0.00 %
AXAXAA, Presence: 0.00 %
ABAXBB, Presence: 0.00 %
AXXXAA, Presence: 0.00 %
AAXXAA, Presence: 0.00 %
XAAXXA, Presence: 0.00 %
AXBBBA, Presence: 0.00 %
AXAAAA, Presence: 0.00 %
AXBABB, Presence: 0.00 %
AXBBAB, Presence: 0.00 %
AAAXAX, Presence: 0.00 %
AABXBA, Presence: 0.00 %
XAAAAA, Presence: 0.00 %
ABBBAB, Presence: 0.00 %
ABBBAA, Presence: 0.00 %
XAAAXA, Presence: 0.00 %
AAAAXA, Presence: 0.00 %
AXXAAA, Presence: 0.00 %
ABBXBA, Presence: 0.00 %
ABBBXA, Presence: 0.00 %
ABBBBA, Presence: 0.00 %
AAAXXA, Presence: 0.00 %
ABXBBA, Presence: 0.00 %
=== METRES ===
J, Presence: 48.57 %
T, Presence: 36.44 %
N, Presence: 10.18 %
D, Presence: 2.68 %
X, Presence: 1.19 %
A, Presence: 0.63 %
H, Presence: 0.19 %
Y, Presence: 0.11 %
P, Presence: 0.02 %
=== YEARS ===
1896, Presence: 2.79 %
1883, Presence: 2.55 %
1906, Presence: 2.23 %
1899, Presence: 2.07 %
1895, Presence: 2.05 %
1897, Presence: 2.00 %
1884, Presence: 2.00 %
1927, Presence: 1.88 %
1901, Presence: 1.78 %
1911, Presence: 1.73 %
1889, Presence: 1.69 %
1904, Presence: 1.69 %
1907, Presence: 1.68 %
1900, Presence: 1.68 %
1885, Presence: 1.65 %
1887, Presence: 1.59 %
1892, Presence: 1.57 %
1890, Presence: 1.53 %
1886, Presence: 1.52 %
1880, Presence: 1.50 %
1910, Presence: 1.48 %
1902, Presence: 1.47 %
1894, Presence: 1.46 %
1913, Presence: 1.43 %
1898, Presence: 1.40 %
1874, Presence: 1.38 %
1937, Presence: 1.37 %
1921, Presence: 1.32 %
1918, Presence: 1.29 %
1930, Presence: 1.28 %
1882, Presence: 1.28 %
1893, Presence: 1.25 %
1905, Presence: 1.22 %
1891, Presence: 1.21 %
1912, Presence: 1.20 %
1881, Presence: 1.18 %
1903, Presence: 1.15 %
1931, Presence: 1.15 %
1908, Presence: 1.15 %
1926, Presence: 1.13 %
1872, Presence: 1.04 %
1928, Presence: 1.01 %
1920, Presence: 1.00 %
1875, Presence: 0.98 %
1922, Presence: 0.92 %
1923, Presence: 0.91 %
1857, Presence: 0.90 %
1876, Presence: 0.83 %
1919, Presence: 0.83 %
1932, Presence: 0.83 %
1888, Presence: 0.82 %
1934, Presence: 0.79 %
1938, Presence: 0.79 %
1914, Presence: 0.75 %
1878, Presence: 0.73 %
1917, Presence: 0.71 %
1836, Presence: 0.70 %
1859, Presence: 0.69 %
1929, Presence: 0.67 %
1915, Presence: 0.66 %
1909, Presence: 0.66 %
1841, Presence: 0.66 %
1846, Presence: 0.65 %
1879, Presence: 0.63 %
1833, Presence: 0.62 %
1873, Presence: 0.62 %
1924, Presence: 0.62 %
1925, Presence: 0.59 %
1935, Presence: 0.58 %
1829, Presence: 0.57 %
1951, Presence: 0.53 %
1858, Presence: 0.49 %
1837, Presence: 0.47 %
1844, Presence: 0.47 %
1868, Presence: 0.46 %
1863, Presence: 0.45 %
1862, Presence: 0.45 %
1933, Presence: 0.44 %
1974, Presence: 0.43 %
1963, Presence: 0.42 %
1916, Presence: 0.41 %
1835, Presence: 0.39 %
1865, Presence: 0.32 %
1869, Presence: 0.31 %
1823, Presence: 0.30 %
1843, Presence: 0.25 %
1965, Presence: 0.25 %
1832, Presence: 0.24 %
1847, Presence: 0.24 %
1853, Presence: 0.23 %
1956, Presence: 0.22 %
1840, Presence: 0.21 %
1845, Presence: 0.21 %
1830, Presence: 0.21 %
1984, Presence: 0.20 %
1860, Presence: 0.20 %
1948, Presence: 0.20 %
1805, Presence: 0.20 %
1870, Presence: 0.19 %
1864, Presence: 0.19 %
1958, Presence: 0.19 %
1946, Presence: 0.18 %
1852, Presence: 0.17 %
1851, Presence: 0.17 %
1871, Presence: 0.16 %
1861, Presence: 0.16 %
1877, Presence: 0.16 %
1867, Presence: 0.16 %
1820, Presence: 0.15 %
1936, Presence: 0.15 %
1856, Presence: 0.15 %
1962, Presence: 0.15 %
1839, Presence: 0.13 %
1950, Presence: 0.13 %
1822, Presence: 0.13 %
1812, Presence: 0.13 %
1806, Presence: 0.12 %
1850, Presence: 0.12 %
1804, Presence: 0.12 %
1959, Presence: 0.12 %
1940, Presence: 0.11 %
1827, Presence: 0.11 %
1821, Presence: 0.11 %
1819, Presence: 0.10 %
1807, Presence: 0.10 %
1939, Presence: 0.10 %
NaN, Presence: 0.07 %
1809, Presence: 0.07 %
1814, Presence: 0.07 %
1866, Presence: 0.07 %
1834, Presence: 0.06 %
1785, Presence: 0.06 %
1942, Presence: 0.06 %
1824, Presence: 0.06 %
1838, Presence: 0.06 %
1803, Presence: 0.06 %
1842, Presence: 0.05 %
1941, Presence: 0.05 %
1945, Presence: 0.05 %
1849, Presence: 0.05 %
1944, Presence: 0.04 %
1954, Presence: 0.04 %
1957, Presence: 0.03 %
1825, Presence: 0.03 %
1815, Presence: 0.03 %
1816, Presence: 0.03 %
1831, Presence: 0.03 %
1854, Presence: 0.02 %
1794, Presence: 0.01 %
1947, Presence: 0.01 %
1789, Presence: 0.01 %
1797, Presence: 0.01 %
1796, Presence: 0.00 %
1801, Presence: 0.00 %
1955, Presence: 0.00 %
1782, Presence: 0.00 %
1792, Presence: 0.00 %
1787, Presence: 0.00 %
=== BUCKETED YEARS ===
1900, Presence: 31.99 %
1880, Presence: 23.83 %
1920, Presence: 20.34 %
1940, Presence: 7.01 %
1860, Presence: 5.78 %
1840, Presence: 5.61 %
1960, Presence: 2.57 %
1820, Presence: 2.03 %
1800, Presence: 0.76 %
NaN, Presence: 0.07 %
