=== WRITERS ===
Vrchlický, Jaroslav, Number of Lines: 235512
Ráb, Václav Věnceslav, Number of Lines: 2400
Martinec, Jaroslav, Number of Lines: 2386
Hašek, Roman, Number of Lines: 2378
Rypáček, František Jaroslav, Number of Lines: 2346
Bulant, Antonín, Number of Lines: 2342
Hek, František Vladislav, Number of Lines: 2284
Auředníček, Otakar, Number of Lines: 2210
Goll, Jaroslav, Number of Lines: 2195
Ryba, Jakub Jan, Number of Lines: 2184
Adámek, Bohumil, Number of Lines: 2158
Ostravický, Čechoslav, Number of Lines: 2148
Illový, Rudolf, Number of Lines: 2128
Květ, Bohuslav, Number of Lines: 2098
Frída, Vladimír, Number of Lines: 2086
Merhaut, Josef, Number of Lines: 2078
Jelínek, Hanuš, Number of Lines: 2038
Burgerstein, Josef, Number of Lines: 1963
Hilar, Karel Hugo, Number of Lines: 1893
Gallat, Alois, Number of Lines: 1801
Just, Eduard, Number of Lines: 1711
Pok Poděbradský, Václav, Number of Lines: 1685
Ceyp z Peclinovce, Jan Bohumil, Number of Lines: 1684
Nevšímal, August, Number of Lines: 1646
Pachmayer, Josef, Number of Lines: 1598
Šafařík, Pavel Josef, Number of Lines: 1577
Rožek, Karel, Number of Lines: 1542
Albert, Eduard, Number of Lines: 1539
Spáčil Žeranovský, Jan, Number of Lines: 1531
Špindler, Ervín, Number of Lines: 1524
Koukl, Antonín, Number of Lines: 1508
Čermák, Bohuslav, Number of Lines: 1470
Klicpera, Václav Kliment, Number of Lines: 1467
Růžičková, Anna Vlastimila, Number of Lines: 1466
Dvořáková-Mráčková, Albína, Number of Lines: 1465
Maternová, Pavla, Number of Lines: 1456
Drahoňovský, František Karel, Number of Lines: 1455
Ježek, Jan, Number of Lines: 1453
Vřesnický, Jan, Number of Lines: 1436
Karafiát, Jan, Number of Lines: 1429
Šimáček, Matěj Anastázia, Number of Lines: 1427
Košín z Radostova, Josef, Number of Lines: 1412
Sychra, Matěj Josef, Number of Lines: 1404
Mayer, Rudolf, Number of Lines: 1379
Ráž, Arnošt, Number of Lines: 1361
Hofmeister, Rudolf Richard, Number of Lines: 1339
Soldan, František, Number of Lines: 1319
Beránek, Jan, Number of Lines: 1318
Šrámek, Jan, Number of Lines: 1313
Baar, Jindřich Šimon, Number of Lines: 1311
Rosenzweig-Moir, Josef, Number of Lines: 1252
Bort, Rudolf, Number of Lines: 1246
Trnka, František, Number of Lines: 1236
Haasz, Jaroslav, Number of Lines: 1236
Kučera, Eduard, Number of Lines: 1229
Koráb, Julius Alois, Number of Lines: 1226
Jirásek, Alois, Number of Lines: 1206
Kubelka, Josef, Number of Lines: 1144
Hájek, Karel B., Number of Lines: 1140
Arietto, Ladislav, Number of Lines: 1132
Baše, Josef, Number of Lines: 1129
Mařík, Ruda, Number of Lines: 1124
Hlaváček, Karel, Number of Lines: 1097
Balcárek, Aleš, Number of Lines: 1045
Tichý, Josef, Number of Lines: 1029
Vlk, Jan, Number of Lines: 1015
Bitnar, Vilém, Number of Lines: 985
Chládek, František, Number of Lines: 979
Přibil, Martin Alexander, Number of Lines: 950
Šimeček, František, Number of Lines: 940
Prokop, Karel Vojtěch, Number of Lines: 935
Gintl, Zdeněk, Number of Lines: 905
Popelka, Stanislav, Number of Lines: 898
Sís, František, Number of Lines: 889
Böhm, Jindřich, Number of Lines: 861
Čacká, Marie, Number of Lines: 838
Mühlsteinová, Berta, Number of Lines: 829
Panýrek, Duchoslav, Number of Lines: 800
Vojáček, Václav, Number of Lines: 799
Forman, Bohumil, Number of Lines: 774
Scheinpflug, Karel, Number of Lines: 763
Rybář, František, Number of Lines: 745
Procházka, Arnošt, Number of Lines: 719
Simerská, Anna, Number of Lines: 718
Wunsch, Hugo Václav, Number of Lines: 705
Berdych, Kamil, Number of Lines: 703
Bogner, Adolf, Number of Lines: 696
Hanka, Václav, Number of Lines: 692
Flekáček, Josef, Number of Lines: 658
Vladyka, Jan Bapt., Number of Lines: 633
Šembera, Vratislav Kazimír, Number of Lines: 622
Nejedlý, Jan, Number of Lines: 608
Karásek ze Lvovic, Jiří, Number of Lines: 596
Opočenský, Jiří, Number of Lines: 593
Kepka, Hugo, Number of Lines: 589
Krapka Náchodský, Josef, Number of Lines: 537
Barák, Josef, Number of Lines: 536
Hais, František, Number of Lines: 522
Palacký, František, Number of Lines: 498
Melezínek, Václav, Number of Lines: 464
Černý, Boleslav L., Number of Lines: 442
Kalaš, Josef V., Number of Lines: 441
Linhart, Ladislav, Number of Lines: 437
Němcová, Božena, Number of Lines: 397
Blatný, Lev, Number of Lines: 353
Marek, Antonín, Number of Lines: 348
Šimková-Uzlová, Fanda, Number of Lines: 338
Stankovský, Josef Jiří, Number of Lines: 328
Haber, Alois Věkoslav, Number of Lines: 325
Eisler, František, Number of Lines: 317
Patrčka, Michal Silorad, Number of Lines: 308
Nejč, Karel, Number of Lines: 296
Pokorný-Pikulík, Josef Václav, Number of Lines: 222
Hlaváček, Václav, Number of Lines: 211
Vavák, František Jan, Number of Lines: 208
Švejda, František, Number of Lines: 197
Lešehrad, Emanuel, Number of Lines: 153
Hauner, Emanuel, Number of Lines: 106
Leška, Štěpán, Number of Lines: 105
Kalina, Josef Jaroslav, Number of Lines: 100
Melichar, Josef Jaroslav, Number of Lines: 100
